"clinic","year_id","used","prev","n","type","agegr","age","agspan","ihme_loc_id","offset","site_pred","adm0_mean","adm0_lower","adm0_upper"
"Butezi",2006,TRUE,0.071,364,"ancss","15-49","15","35","BDI",0,0,0,0,0
"Butezi",2007,TRUE,0.004,404,"ancss","15-49","15","35","BDI",0,0,0,0,0
"Butezi",2010,TRUE,0.009,433,"ancss","15-49","15","35","BDI",0,0,0,0,0
"Butezi",2008,TRUE,0.003,542,"ancss","15-49","15","35","BDI",0,0,0,0,0
"Butezi",2005,TRUE,0.0178,338,"ancss","15-49","15","35","BDI",0,0,0,0,0
"Butezi",2009,TRUE,0,188,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS Ijenda",1999,TRUE,0.0264,303,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS Ijenda",2000,TRUE,0.0381,105,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS Ijenda",2001,TRUE,0.0115,349,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS Ijenda",2002,TRUE,0.0076,262,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS Ijenda",2003,TRUE,0.0216,324,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS Ijenda",2004,TRUE,0.0098,410,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS Ijenda",2005,TRUE,0.0171,468,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS Ijenda",2006,TRUE,0.019,370,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS Ijenda",2007,TRUE,0.005,178,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS Ijenda",2008,TRUE,0.009,212,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS Ijenda",2009,TRUE,0,152,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS Ijenda",2010,TRUE,0.003,369,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS Kiremba",1999,TRUE,0.0094,319,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS Kiremba",2000,TRUE,0.0225,178,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS Kiremba",2001,TRUE,0.0156,321,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS Kiremba",2002,TRUE,0.0036,549,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS Kiremba",2003,TRUE,0.02,450,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS Kiremba",2004,TRUE,0.0028,360,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS Kiremba",2005,TRUE,0.0268,298,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS Kiremba",2006,TRUE,0.038,500,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS Kiremba",2007,TRUE,0.004,481,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS Kiremba",2008,TRUE,0.008,570,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS Kiremba",2009,TRUE,0.028,486,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS Kiremba",2010,TRUE,0.018,525,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS Kiremba",2015,TRUE,0.009,454,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS Muriza",2015,TRUE,0.011,372,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS Mutumba",2015,TRUE,0.005,444,"ancss","15-49","15","35","BDI",0,0,0,0,0
"Ijenda",1997,TRUE,0.039,349,"ancss","15-49","15","35","BDI",0,0,0,0,0
"Ijenda",1998,TRUE,0.038,349,"ancss","15-49","15","35","BDI",0,0,0,0,0
"Ijenda",1996,TRUE,0.059,349,"ancss","15-49","15","35","BDI",0,0,0,0,0
"Ijenda",1995,TRUE,0.124,349,"ancss","15-49","15","35","BDI",0,0,0,0,0
"Kiremba",1995,TRUE,0.077,349,"ancss","15-49","15","35","BDI",0,0,0,0,0
"Kiremba",1997,TRUE,0.031,349,"ancss","15-49","15","35","BDI",0,0,0,0,0
"Kiremba",1998,TRUE,0.04,349,"ancss","15-49","15","35","BDI",0,0,0,0,0
"Muramvya",2010,TRUE,0,82,"ancss","15-49","15","35","BDI",0,0,0,0,0
"Muramvya",2015,TRUE,0.012,419,"ancss","15-49","15","35","BDI",0,0,0,0,0
"Muramvya",2005,TRUE,0.0524,191,"ancss","15-49","15","35","BDI",0,0,0,0,0
"Muramvya",2006,TRUE,0.035,364,"ancss","15-49","15","35","BDI",0,0,0,0,0
"Muramvya",2007,TRUE,0.018,327,"ancss","15-49","15","35","BDI",0,0,0,0,0
"Muramvya",2009,TRUE,0.005,172,"ancss","15-49","15","35","BDI",0,0,0,0,0
"Muramvya",1996,TRUE,0.069,349,"ancss","15-49","15","35","BDI",0,0,0,0,0
"Muramvya",1997,TRUE,0.147,349,"ancss","15-49","15","35","BDI",0,0,0,0,0
"Muramvya",1998,TRUE,0.045,349,"ancss","15-49","15","35","BDI",0,0,0,0,0
"Muramvya",2008,TRUE,0,93,"ancss","15-49","15","35","BDI",0,0,0,0,0
"Muramvya",1999,TRUE,0.0745,349,"ancss","15-49","15","35","BDI",0,0,0,0,0
"Muramvya",2000,TRUE,0.0368,136,"ancss","15-49","15","35","BDI",0,0,0,0,0
"Muramvya",2001,TRUE,0.0346,347,"ancss","15-49","15","35","BDI",0,0,0,0,0
"Muramvya",2002,TRUE,0.034,265,"ancss","15-49","15","35","BDI",0,0,0,0,0
"Muramvya",2003,TRUE,0.0465,344,"ancss","15-49","15","35","BDI",0,0,0,0,0
"Muramvya",2004,TRUE,0.022,500,"ancss","15-49","15","35","BDI",0,0,0,0,0
"ABUBEF RUMONGE",2015,TRUE,0.028,503,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS CMC BUYENZI",2005,TRUE,0.18,411,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS CMC BUYENZI",2006,TRUE,0.193,461,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS CMC BUYENZI",2007,TRUE,0.12,500,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS CMC BUYENZI",2008,TRUE,0.057,596,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS CMC BUYENZI",2009,TRUE,0.072,472,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS CMC BUYENZI",2010,TRUE,0.079,527,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS CMC BUYENZI",1999,TRUE,0.1594,345,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS CMC BUYENZI",2000,TRUE,0.139,380,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS CMC BUYENZI",2001,TRUE,0.1603,524,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS CMC BUYENZI",2002,TRUE,0.161,236,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS CMC BUYENZI",2003,TRUE,0.1326,377,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS CMC BUYENZI",2004,TRUE,0.126,500,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS CMC BUYENZI",2015,TRUE,0.082,376,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS GITEGA",2005,TRUE,0.0572,332,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS GITEGA",2006,TRUE,0.205,442,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS GITEGA",2007,TRUE,0.045,484,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS GITEGA",2008,TRUE,0.017,278,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS GITEGA",2009,TRUE,0.051,214,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS GITEGA",2010,TRUE,0.029,135,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS GITEGA",1999,TRUE,0.1306,314,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS GITEGA",2000,TRUE,0.111,171,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS GITEGA",2001,TRUE,0.0874,286,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS GITEGA",2002,TRUE,0.0526,266,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS GITEGA",2003,TRUE,0.0342,117,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS GITEGA",2004,TRUE,0.0616,487,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS GITEGA",2015,TRUE,0.006,486,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS KAYANZA",2006,TRUE,0.143,491,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS KAYANZA",2007,TRUE,0.044,493,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS KAYANZA",2008,TRUE,0.01,570,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS KAYANZA",2009,TRUE,0.019,458,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS KAYANZA",2010,TRUE,0.032,471,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS KAYANZA",2015,TRUE,0.046,413,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS KAYANZA",1999,TRUE,0.0545,330,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS KAYANZA",2000,TRUE,0.116,424,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS KAYANZA",2001,TRUE,0.0556,162,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS KAYANZA",2002,TRUE,0.1111,99,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS KAYANZA",2003,TRUE,0.0548,347,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS KAYANZA",2004,TRUE,0.048,500,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS KAYANZA",2005,TRUE,0.0506,435,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS RUMONGE",2005,TRUE,0.0728,357,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS RUMONGE",2006,TRUE,0.049,303,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS RUMONGE",2007,TRUE,0.038,500,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS RUMONGE",2008,TRUE,0.022,272,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS RUMONGE",2009,TRUE,0.03,458,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS RUMONGE",2010,TRUE,0.031,258,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS RUMONGE",1999,TRUE,0.1119,295,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS RUMONGE",2000,TRUE,0.05,349,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS RUMONGE",2001,TRUE,0.1284,218,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS RUMONGE",2002,TRUE,0.0739,257,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS RUMONGE",2003,TRUE,0.069,203,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS RUMONGE",2004,TRUE,0.0393,458,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CMC BUYENZI",1993,TRUE,0.234,349,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CMC BUYENZI",1996,TRUE,0.206,349,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CMC BUYENZI",1997,TRUE,0.175,349,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CMC BUYENZI",1998,TRUE,0.198,349,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CMC BUYENZI",1995,TRUE,0.277,349,"ancss","15-49","15","35","BDI",0,0,0,0,0
"H GITEGA",1997,TRUE,0.17,349,"ancss","15-49","15","35","BDI",0,0,0,0,0
"H GITEGA",1998,TRUE,0.194,349,"ancss","15-49","15","35","BDI",0,0,0,0,0
"H KAYANZA",1997,TRUE,0.102,349,"ancss","15-49","15","35","BDI",0,0,0,0,0
"H KAYANZA",1995,TRUE,0.39,349,"ancss","15-49","15","35","BDI",0,0,0,0,0
"H RUMONGE",1993,TRUE,0.125,349,"ancss","15-49","15","35","BDI",0,0,0,0,0
"H RUMONGE",1995,TRUE,0.166,349,"ancss","15-49","15","35","BDI",0,0,0,0,0
